Number,Request_type,Sector
SR_Req_0950817,DOMESTIC REQUEST,IT Software
SR_Req_0950821,DOMESTIC REQUEST,Consultancy Services
SR_Req_0951273,INTERNATIONAL REQUEST,Travel
SR_Req_0951331,INTERNATIONAL REQUEST,Other
SR_Req_0951376,DOMESTIC WIL REQUEST,Other
SR_Req_0951378,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0951409,DOMESTIC REQUEST,Professional Services
SR_Req_0951693,INTERNATIONAL REQUEST,Other
SR_Req_0951694,INTERNATIONAL REQUEST,Professional Services
SR_Req_0951697,INTERNATIONAL REQUEST,Travel
SR_Req_0951768,DOMESTIC REQUEST,Other
SR_Req_0951820,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0951828,INTERNATIONAL REQUEST,Membership and Associations
SR_Req_0952106,DOMESTIC REQUEST,Professional Services
SR_Req_0952877,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0952913,DOMESTIC REQUEST,  IT Managed Services
SR_Req_0953094,DOMESTIC REQUEST,Other
SR_Req_0953155,DOMESTIC WIL REQUEST,Other
SR_Req_0953322,DOMESTIC REQUEST,Membership and Associations
SR_Req_0953490,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0953579,INTERNATIONAL REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0953633,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0953649,DOMESTIC REQUEST,  IT Managed Services
SR_Req_0953699,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0953775,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0953794,DOMESTIC REQUEST,Other
SR_Req_0953899,DOMESTIC REQUEST,Other
SR_Req_0954042,DOMESTIC REQUEST,Professional Services
SR_Req_0954263,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0954296,DOMESTIC WIL REQUEST,Other
SR_Req_0954299,INTERNATIONAL REQUEST,Other
SR_Req_0954648,DOMESTIC REQUEST,Other
SR_Req_0954718,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0954863,INTERNATIONAL REQUEST,IT Software
SR_Req_0954883,DOMESTIC REQUEST,Professional Services
SR_Req_0954884,DOMESTIC REQUEST,Professional Services
SR_Req_0954886,DOMESTIC REQUEST,Professional Services
SR_Req_0955010,DOMESTIC WIL REQUEST,Other
SR_Req_0955040,INTERNATIONAL RESEARCH REQUEST,Lab supplies and industrial gas
SR_Req_0955057,INTERNATIONAL REQUEST,IT Software
SR_Req_0955148,DOMESTIC REQUEST,Catering
SR_Req_0955419,DOMESTIC REQUEST,Professional Services
SR_Req_0955440,DOMESTIC REQUEST,Consultancy Services
SR_Req_0955542,DOMESTIC WIL REQUEST,Other
SR_Req_0955613,DOMESTIC REQUEST,Other
SR_Req_0955662,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0955844,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0955934,DOMESTIC REQUEST,Professional Services
SR_Req_0956055,INTERNATIONAL REQUEST,Professional Services
SR_Req_0956085,INTERNATIONAL RESEARCH REQUEST,Consultancy Services
SR_Req_0956098,DOMESTIC REQUEST,IT Software
SR_Req_0956213,DOMESTIC REQUEST,Other
SR_Req_0956769,DOMESTIC WIL REQUEST,Other
SR_Req_0956770,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0956775,INTERNATIONAL REQUEST,Other
SR_Req_0956776,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0956779,DOMESTIC WIL REQUEST,Other
SR_Req_0956933,DOMESTIC REQUEST,Other
SR_Req_0956976,DOMESTIC REQUEST,Other
SR_Req_0957074,DOMESTIC REQUEST,Other
SR_Req_0957121,DOMESTIC REQUEST,Professional Services
SR_Req_0957196,INTERNATIONAL RESEARCH REQUEST,Consultancy Services
SR_Req_0957361,INTERNATIONAL REQUEST,Other
SR_Req_0957414,DOMESTIC REQUEST,Office Supplies
SR_Req_0957583,DOMESTIC REQUEST,Other
SR_Req_0957702,DOMESTIC REQUEST,Other
SR_Req_0957730,DOMESTIC REQUEST,IT Software
SR_Req_0957871,DOMESTIC REQUEST,Other
SR_Req_0957887,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0957915,INTERNATIONAL REQUEST,Events Management (excl. catering)
SR_Req_0957975,DOMESTIC REQUEST,Other
SR_Req_0957982,DOMESTIC REQUEST,Catering
SR_Req_0958182,DOMESTIC REQUEST,Consultancy Services
SR_Req_0958199,DOMESTIC REQUEST,Other
SR_Req_0958260,DOMESTIC REQUEST,Other
SR_Req_0958459,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0958479,INTERNATIONAL REQUEST,Professional Services
SR_Req_0958482,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0958494,DOMESTIC REQUEST,Other
SR_Req_0958499,DOMESTIC REQUEST,Other
SR_Req_0958510,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0958608,DOMESTIC WIL REQUEST,Other
SR_Req_0958896,DOMESTIC WIL REQUEST,Other
SR_Req_0958976,INTERNATIONAL REQUEST,Catering
SR_Req_0959050,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0959202,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0959327,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0959365,DOMESTIC REQUEST,Professional Services
SR_Req_0959466,DOMESTIC WIL REQUEST,Other
SR_Req_0959479,INTERNATIONAL REQUEST,Professional Services
SR_Req_0959720,DOMESTIC REQUEST,Consultancy Services
SR_Req_0959817,INTERNATIONAL REQUEST,"Other, Professional Services"
SR_Req_0959960,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0960048,DOMESTIC WIL REQUEST,Other
SR_Req_0960057,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0960399,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0960407,INTERNATIONAL REQUEST,Other
SR_Req_0960467,DOMESTIC REQUEST,Professional Services
SR_Req_0960470,INTERNATIONAL REQUEST,Printing Services
SR_Req_0960676,DOMESTIC REQUEST,IT Software
SR_Req_0960762,DOMESTIC REQUEST,IT Software
SR_Req_0960985,DOMESTIC REQUEST,Catering
SR_Req_0960987,DOMESTIC REQUEST,Catering
SR_Req_0960989,DOMESTIC REQUEST,Professional Services
SR_Req_0961791,DOMESTIC WIL REQUEST,Other
SR_Req_0962109,DOMESTIC REQUEST,IT Software
SR_Req_0962145,INTERNATIONAL REQUEST,  IT Managed Services
SR_Req_0962290,INTERNATIONAL REQUEST,IT Software
SR_Req_0962294,DOMESTIC WIL REQUEST,IT Software
SR_Req_0962307,INTERNATIONAL RESEARCH REQUEST,Professional Services
SR_Req_0962322,DOMESTIC REQUEST,Professional Services
SR_Req_0962337,DOMESTIC REQUEST,Professional Services
SR_Req_0962415,DOMESTIC RESEARCH REQUEST,Consultancy Services
SR_Req_0962592,DOMESTIC REQUEST,"Building Infrastructure and Construction, Professional Services"
SR_Req_0962595,DOMESTIC REQUEST,Professional Services
SR_Req_0962624,DOMESTIC RESEARCH REQUEST,Building Infrastructure and Construction
SR_Req_0962929,DOMESTIC REQUEST,Other
SR_Req_0963069,DOMESTIC REQUEST,Other
SR_Req_0963081,DOMESTIC REQUEST,Professional Services
SR_Req_0963164,DOMESTIC REQUEST,Leasing and Real Estate
SR_Req_0963209,DOMESTIC RESEARCH REQUEST,"Professional Services, Utilities"
SR_Req_0963219,DOMESTIC REQUEST,Other
SR_Req_0963336,DOMESTIC REQUEST,Consultancy Services
SR_Req_0963578,DOMESTIC WIL REQUEST,Other
